ID,Class
7369,net/minecraft/src/NBTTagDouble
7391,net/minecraft/src/RenderMinecart
7407,net/minecraft/src/BlockFurnace
7429,net/minecraft/src/ModelChicken
7444,net/minecraft/src/BiomeGenSwamp
7468,net/minecraft/src/RenderList
7485,net/minecraft/src/RenderManager
7502,net/minecraft/src/NetHandler
7522,net/minecraft/src/EntityClientPlayerMP
7540,net/minecraft/src/ThreadDownloadImage
7561,net/minecraft/src/BlockMushroom
7581,net/minecraft/src/WorldBlockPositionType
7601,net/minecraft/src/Packet17AddToInventory
7617,net/minecraft/src/ChunkLoader
7639,net/minecraft/src/RecipesIngots
7653,net/minecraft/src/ItemRecord
7674,net/minecraft/src/Packet53BlockChange
7691,net/minecraft/src/ThreadRunIsoClient
7710,net/minecraft/src/WorldIso
7733,net/minecraft/src/ClippingHelperImplementation
7748,net/minecraft/src/SlotArmor
7771,net/minecraft/src/Gui
7788,net/minecraft/src/TexturedQuad
7809,net/minecraft/src/OsMap
7825,net/minecraft/src/GuiInventory
7843,net/minecraft/src/NoiseGeneratorOctaves
7867,net/minecraft/src/NoiseGeneratorOctaves2
7882,net/minecraft/src/Packet30Entity
7904,net/minecraft/src/BlockSign
7921,net/minecraft/src/NBTTagShort
7941,net/minecraft/src/TerrainTextureManager
7957,net/minecraft/src/GuiIngame
7980,net/minecraft/src/GuiControls
7995,net/minecraft/src/MovementInput
8013,net/minecraft/src/Teleporter
8034,net/minecraft/src/MinecraftException
8053,net/minecraft/src/Block
8076,net/minecraft/src/ChunkProviderClient
8091,net/minecraft/src/EntitySlime
8112,net/minecraft/src/EntityZombie
8128,net/minecraft/src/RenderCow
8147,net/minecraft/src/ItemSign
8168,net/minecraft/src/ItemBoat
8190,net/minecraft/src/MovingObjectPosition
8208,net/minecraft/src/BlockLog
8227,net/minecraft/src/Packet12PlayerLook
8246,net/minecraft/src/RecipesArmor
8264,net/minecraft/src/BlockFarmland
8283,net/minecraft/src/BlockTorch
8300,net/minecraft/src/MinecartTrackLogic
8323,net/minecraft/src/TexturePackCustom
8337,net/minecraft/src/TextureWaterFX
8356,net/minecraft/src/SlotInventory
8377,net/minecraft/src/GuiConnecting
8395,net/minecraft/src/GuiSlider
8414,net/minecraft/src/MouseHelper
8433,net/minecraft/src/ItemArmor
8455,net/minecraft/src/BlockFlower
8472,net/minecraft/src/ItemSpade
8492,net/minecraft/src/WorldProviderHell
8508,net/minecraft/src/ChunkPosition
8531,net/minecraft/src/NibbleArray
8549,net/minecraft/src/EntityPig
8565,net/minecraft/src/InventoryCraftResult
8589,net/minecraft/src/HashEntry
8608,net/minecraft/src/BlockGrass
8627,net/minecraft/src/EntityFlying
8646,net/minecraft/src/EntityChicken
8663,net/minecraft/src/Packet52MultiBlockChange
8682,net/minecraft/src/CanvasCrashReport
8698,net/minecraft/src/WorldGenPumpkin
8719,net/minecraft/src/ThreadConnectToServer
8737,net/minecraft/src/WorldProvider
8758,net/minecraft/src/Packet5PlayerInventory
8778,net/minecraft/src/RecipesWeapons
8796,net/minecraft/src/NBTTagString
8811,net/minecraft/src/EntityRainFX
8832,net/minecraft/src/BlockSponge
8855,net/minecraft/src/NetworkMasterThread
8868,net/minecraft/src/NetworkReaderThread
8891,net/minecraft/src/PlayerControllerMP
8907,net/minecraft/src/NetworkWriterThread
8927,net/minecraft/src/EntitySmokeFX
8947,net/minecraft/src/WorldGenLiquids
8965,net/minecraft/src/IBlockAccess
8982,net/minecraft/src/BlockLever
9005,net/minecraft/src/WorldGenFire
9023,net/minecraft/src/RedstoneUpdateInfo
9042,net/minecraft/src/WorldChunkManager
9063,net/minecraft/src/EntityFX
9080,net/minecraft/src/MinecraftError
9100,net/minecraft/src/RenderSheep
9118,net/minecraft/src/EntityOtherPlayerMP
9138,net/minecraft/src/EntityPigZombie
9158,net/minecraft/src/IProgressUpdate
9175,net/minecraft/src/GuiEditSign
9191,net/minecraft/src/ItemFlintAndSteel
9212,net/minecraft/src/ChunkProviderGenerate
9232,net/minecraft/src/Packet59ComplexEntity
9254,net/minecraft/src/RenderZombieSimple
9267,net/minecraft/src/CraftingInventoryPlayerCB
9292,net/minecraft/src/WorldGenTrees
9309,net/minecraft/src/BlockNetherrack
9326,net/minecraft/src/TileEntitySign
9349,net/minecraft/src/EntityMinecart
9365,net/minecraft/src/ItemPainting
9383,net/minecraft/src/ICamera
9400,net/minecraft/src/SoundManager
9425,net/minecraft/src/BlockFire
9441,net/minecraft/src/Packet255KickDisconnect
9463,net/minecraft/src/BlockStep
9477,net/minecraft/src/ItemFood
9500,net/minecraft/src/RenderSpider
9515,net/minecraft/src/ChunkCoordIntPair
9534,net/minecraft/src/GuiSmallButton
9553,net/minecraft/src/BlockSnowBlock
9577,net/minecraft/src/Packet11PlayerPosition
9590,net/minecraft/src/TileEntityMobSpawnerRenderer
9612,net/minecraft/src/BlockTNT
9632,net/minecraft/src/StepSoundSand
9652,net/minecraft/src/BlockPortal
9667,net/minecraft/src/StepSoundStone
9690,net/minecraft/src/NoiseGeneratorPerlin
